Date,Monthly Change,Cumul Monthly Returns
1961-12-31,,
1962-01-31,0.00000,1.00000
1962-02-28,0.00000,1.00000
1962-03-31,0.00000,1.00000
1962-04-30,0.00000,1.00000
1962-05-31,0.00000,1.00000
1962-06-30,0.00000,1.00000
1962-07-31,0.00000,1.00000
1962-08-31,0.00000,1.00000
1962-09-30,-0.00845,0.99155
1962-10-31,0.00000,0.99155
1962-11-30,0.00000,0.99155
1962-12-31,0.00426,0.99577
1963-01-31,0.00000,0.99577
1963-02-28,0.00000,0.99577
1963-03-31,0.00000,0.99577
1963-04-30,0.00000,0.99577
1963-05-31,0.00000,0.99577
1963-06-30,0.00198,0.99775
1963-07-31,0.00000,0.99775
1963-08-31,0.00000,0.99775
1963-09-30,-0.00480,0.99296
1963-10-31,0.00000,0.99296
1963-11-30,0.00000,0.99296
1963-12-31,0.00000,0.99296
1964-01-31,0.00000,0.99296
1964-02-29,0.00000,0.99296
1964-03-31,0.00000,0.99296
1964-04-30,0.00000,0.99296
1964-05-31,0.00000,0.99296
1964-06-30,0.00000,0.99296
1964-07-31,0.00000,0.99296
1964-08-31,0.00000,0.99296
1964-09-30,0.00284,0.99577
1964-10-31,0.00000,0.99577
1964-11-30,0.00000,0.99577
1964-12-31,0.00000,0.99577
1965-01-31,0.00000,0.99577
1965-02-28,0.00000,0.99577
1965-03-31,0.00000,0.99577
1965-04-30,0.00000,0.99577
1965-05-31,0.00000,0.99577
1965-06-30,-0.00283,0.99296
1965-07-31,0.00000,0.99296
1965-08-31,0.00000,0.99296
1965-09-30,0.00709,1.00000
1965-10-31,0.00000,1.00000
1965-11-30,0.00000,1.00000
1965-12-31,0.00000,1.00000
1966-01-31,0.00000,1.00000
1966-02-28,0.00000,1.00000
1966-03-31,0.00000,1.00000
1966-04-30,0.00000,1.00000
1966-05-31,0.00000,1.00000
1966-06-30,0.00000,1.00000
1966-07-31,0.00000,1.00000
1966-08-31,0.00000,1.00000
1966-09-30,-0.00563,0.99437
1966-10-31,0.00000,0.99437
1966-11-30,0.00000,0.99437
1966-12-31,0.00283,0.99718
1967-01-31,0.00000,0.99718
1967-02-28,0.00000,0.99718
1967-03-31,0.00000,0.99718
1967-04-30,0.00000,0.99718
1967-05-31,0.00000,0.99718
1967-06-30,-0.00367,0.99352
1967-07-31,0.00000,0.99352
1967-08-31,0.00000,0.99352
1967-09-30,0.00652,1.00000
1967-10-31,0.00000,1.00000
1967-11-30,0.00000,1.00000
1967-12-31,0.00000,1.00000
1968-01-31,-0.00845,0.99155
1968-02-29,0.00000,0.99155
1968-03-31,0.11932,1.10986
1968-04-30,-0.00761,1.10141
1968-05-31,0.05627,1.16338
1968-06-30,-0.00726,1.15493
1968-07-31,-0.05488,1.09155
1968-08-31,0.02968,1.12394
1968-09-30,-0.03383,1.08592
1968-10-31,0.02464,1.11268
1968-11-30,0.02835,1.14423
1968-12-31,0.02708,1.17521
1969-01-31,0.01918,1.19775
1969-02-28,0.00423,1.20282
1969-03-31,0.01639,1.22254
1969-04-30,0.00461,1.22817
1969-05-31,-0.00528,1.22169
1969-06-30,-0.04542,1.16620
1969-07-31,0.00483,1.17183
1969-08-31,-0.01202,1.15775
1969-09-30,-0.00487,1.15211
1969-10-31,-0.02200,1.12676
1969-11-30,-0.10250,1.01127
1969-12-31,-0.01393,0.99718
1970-01-31,-0.00565,0.99155
1970-02-28,0.00000,0.99155
1970-03-31,0.00568,0.99718
1970-04-30,0.01977,1.01690
1970-05-31,-0.00831,1.00845
1970-06-30,-0.00279,1.00563
1970-07-31,-0.00560,1.00000
1970-08-31,0.01690,1.01690
1970-09-30,0.01385,1.03099
1970-10-31,0.02459,1.05634
1970-11-30,0.00800,1.06479
1970-12-31,-0.00529,1.05915
1971-01-31,0.02128,1.08169
1971-02-28,0.01823,1.10141
1971-03-31,0.00000,1.10141
1971-04-30,0.02046,1.12394
1971-05-31,0.03008,1.15775
1971-06-30,-0.01703,1.13803
1971-07-31,0.05693,1.20282
1971-08-31,-0.03981,1.15493
1971-09-30,0.04634,1.20845
1971-10-31,-0.00699,1.20000
1971-11-30,0.03052,1.23662
1971-12-31,-0.00228,1.23380
1972-01-31,0.08219,1.33521
1972-02-29,0.02321,1.36620
1972-03-31,0.00206,1.36901
1972-04-30,0.02675,1.40563
1972-05-31,0.19639,1.68169
1972-06-30,0.08710,1.82817
1972-07-31,0.05701,1.93239
1972-08-31,-0.02187,1.89014
1972-09-30,-0.03875,1.81690
1972-10-31,0.00155,1.81972
1972-11-30,-0.01084,1.80000
1972-12-31,0.02034,1.83662
1973-01-31,0.01687,1.86761
1973-02-28,0.28658,2.40282
1973-03-31,0.05862,2.54366
1973-04-30,0.00775,2.56338
1973-05-31,0.26374,3.23944
1973-06-30,0.07391,3.47887
1973-07-31,-0.06154,3.26479
1973-08-31,-0.10440,2.92394
1973-09-30,-0.03372,2.82535
1973-10-31,-0.01994,2.76901
1973-11-30,0.02950,2.85070
1973-12-31,0.13142,3.22535
1974-01-31,0.15983,3.74085
1974-02-28,0.22590,4.58592
1974-03-31,0.06450,4.88169
1974-04-30,-0.02193,4.77465
1974-05-31,-0.07375,4.42254
1974-06-30,-0.07962,4.07042
1974-07-31,0.08097,4.40000
1974-08-31,0.00064,4.40282
1974-09-30,-0.03071,4.26761
1974-10-31,0.10363,4.70986
1974-11-30,0.10825,5.21972
1974-12-31,0.00216,5.23099
1975-01-31,-0.04146,5.01408
1975-02-28,0.02809,5.15493
1975-03-31,-0.01913,5.05634
1975-04-30,-0.07075,4.69859
1975-05-31,0.01319,4.76056
1975-06-30,-0.00710,4.72676
1975-07-31,0.03337,4.88451
1975-08-31,-0.06113,4.58592
1975-09-30,-0.12654,4.00563
1975-10-31,0.00422,4.02254
1975-11-30,0.03501,4.16338
1975-12-31,0.00677,4.19155
1976-01-31,-0.09946,3.77465
1976-02-29,0.01866,3.84507
1976-03-31,-0.02784,3.73803
1976-04-30,-0.00151,3.73239
1976-05-31,-0.01811,3.66479
1976-06-30,-0.03151,3.54930
1976-07-31,-0.09365,3.21690
1976-08-31,-0.09632,2.90704
1976-09-30,0.12500,3.27042
1976-10-31,0.06632,3.48732
1976-11-30,0.07108,3.73521
1976-12-31,0.03846,3.87887
1977-01-31,0.00799,3.90986
1977-02-28,0.05187,4.11268
1977-03-31,0.03425,4.25352
1977-04-30,-0.01987,4.16901
1977-05-31,-0.00608,4.14366
1977-06-30,-0.00680,4.11549
1977-07-31,0.00684,4.14366
1977-08-31,0.00680,4.17183
1977-09-30,0.05604,4.40563
1977-10-31,0.04028,4.58310
1977-11-30,-0.00246,4.57183
1977-12-31,0.03204,4.71831
1978-01-31,0.08358,5.11268
1978-02-28,0.03085,5.27042
1978-03-31,-0.00481,5.24507
1978-04-30,-0.08378,4.80563
1978-05-31,0.13013,5.43099
1978-06-30,-0.01867,5.32958
1978-07-31,0.10888,5.90986
1978-08-31,0.00381,5.93239
1978-09-30,0.04891,6.22254
1978-10-31,0.08963,6.78028
1978-11-30,-0.18405,5.53239
1978-12-31,0.16599,6.45070
1979-01-31,0.03319,6.66479
1979-02-28,0.06889,7.12394
1979-03-31,-0.03598,6.86761
1979-04-30,0.02215,7.01972
1979-05-31,0.12801,7.91831
