Date,YTM,Duration,Convexity,Investment Return,Investment Return (%),Cumul Monthly Returns
1961-12-31,0.04060,8.15210,78.56935,0.00000,0.00000,1.00000
1962-01-31,0.04100,8.13640,78.35120,0.00007,0.00737,1.00007
1962-02-28,0.04000,8.17572,78.89793,0.01157,1.15693,1.01164
1962-03-31,0.03860,8.23122,79.67099,0.01488,1.48755,1.02669
1962-04-30,0.03860,8.23122,79.67099,0.00316,0.31611,1.02994
1962-05-31,0.03900,8.21530,79.44920,-0.00012,-0.01186,1.02982
1962-06-30,0.04000,8.17572,78.89793,-0.00494,-0.49430,1.02473
1962-07-31,0.04040,8.15996,78.67869,0.00002,0.00161,1.02474
1962-08-31,0.03960,8.19152,79.11789,0.00988,0.98844,1.03487
1962-09-30,0.03940,8.19944,79.22814,0.00488,0.48830,1.03992
1962-10-31,0.03920,8.20736,79.33858,0.00487,0.48686,1.04499
1962-11-30,0.03920,8.20736,79.33858,0.00321,0.32094,1.04834
1962-12-31,0.03850,8.23520,79.72656,0.00899,0.89936,1.05777
1963-01-31,0.03870,8.22723,79.61548,0.00151,0.15092,1.05937
1963-02-28,0.03940,8.19944,79.22814,-0.00255,-0.25510,1.05666
1963-03-31,0.03950,8.19548,79.17299,0.00241,0.24063,1.05921
1963-04-30,0.03950,8.19548,79.17299,0.00323,0.32335,1.06263
1963-05-31,0.03960,8.19152,79.11789,0.00241,0.24148,1.06520
1963-06-30,0.04000,8.17572,78.89793,-0.00002,-0.00224,1.06517
1963-07-31,0.04000,8.17572,78.89793,0.00327,0.32737,1.06866
1963-08-31,0.04020,8.16783,78.78822,0.00164,0.16417,1.07041
1963-09-30,0.04070,8.14817,78.51474,-0.00077,-0.07745,1.06959
1963-10-31,0.04150,8.11685,78.07954,-0.00314,-0.31385,1.06623
1963-11-30,0.04080,8.14425,78.46019,0.00911,0.91144,1.07595
1963-12-31,0.04140,8.12076,78.13378,-0.00152,-0.15204,1.07431
1964-01-31,0.04150,8.11685,78.07954,0.00257,0.25749,1.07708
1964-02-29,0.04180,8.10515,77.91707,0.00097,0.09662,1.07812
1964-03-31,0.04230,8.08571,77.64720,-0.00061,-0.06148,1.07746
1964-04-30,0.04220,8.08959,77.70109,0.00427,0.42678,1.08205
1964-05-31,0.04190,8.10126,77.86301,0.00588,0.58843,1.08842
1964-06-30,0.04150,8.11685,78.07954,0.00668,0.66793,1.09569
1964-07-31,0.04190,8.10126,77.86301,0.00016,0.01600,1.09587
1964-08-31,0.04210,8.09348,77.75502,0.00181,0.18092,1.09785
1964-09-30,0.04180,8.10515,77.91707,0.00588,0.58775,1.10430
1964-10-31,0.04160,8.11295,78.02534,0.00504,0.50425,1.10987
1964-11-30,0.04200,8.09736,77.80899,0.00017,0.01696,1.11006
1964-12-31,0.04210,8.09348,77.75502,0.00263,0.26254,1.11297
1965-01-31,0.04190,8.10126,77.86301,0.00506,0.50642,1.11861
1965-02-28,0.04220,8.08959,77.70109,0.00100,0.10030,1.11973
1965-03-31,0.04200,8.09736,77.80899,0.00507,0.50715,1.12541
1965-04-30,0.04210,8.09348,77.75502,0.00263,0.26254,1.12836
1965-05-31,0.04230,8.08571,77.64720,0.00183,0.18268,1.13042
1965-06-30,0.04200,8.09736,77.80899,0.00589,0.58912,1.13708
1965-07-31,0.04220,8.08959,77.70109,0.00182,0.18180,1.13915
1965-08-31,0.04270,8.07020,77.43210,-0.00057,-0.05750,1.13850
1965-09-30,0.04350,8.03931,77.00404,-0.00292,-0.29163,1.13518
1965-10-31,0.04410,8.01626,76.68484,-0.00124,-0.12413,1.13377
1965-11-30,0.04480,7.98948,76.31443,-0.00197,-0.19712,1.13153
1965-12-31,0.04650,7.92499,75.42374,-0.00970,-0.97047,1.12055
